Brand,Product Name,Model Number,PV Module Maximum Power [W],Number of Light Points,Main Unit Battery Chemistry
Total Energies,Sunshine Torch,TTS001,3.1,2,LiFePO4
Ningbo Green Light Energy,Solar Home System,GL-80PG,72,3,LiFePO4
d.light,S200 Pro Solar Lantern,S200,2.7,1,Li-Ion
Solar Run,ECOSHINE Solar Home System,SR26A32XG,12,4,LiFePO4
Telesol,TB1206 Energy Box Kit,TB1206,22,4,LiFePO4
Telesol,Energy Box Family,Modular,N/A,N/A,LiFePO4
BioLite Inc.,SH625 Family,Modular,N/A,N/A,LiFePO4
jOBEL,JBX50 Solar Home System,JBX50,16,3,LiFePO4
Lagazel,KALO 600,LK600,0.65,1,LiFePO4
Solar Run,Solar Home System,SR27B42G,20,4,LiFePO4
BioLite Inc.,SolarHome 625,SH625,6.4,4,LiFePO4
Sun King (Greenlight Planet),Pro Easybuy,SK-312,2.7,1,LiFePO4
d.light,Solar Lantern,T200,2.5,1,Li-ion
Sun King (Greenlight Planet),Pico Plus,SK-121,0.39,1,LiFePO4
StarTimes,Solar Power System,S130,50,4,LiFePO4
d.light,Solar Lantern,T100R,2.9,1,LiFePO4
A4&T,A4T77 Family,Modular,N/A,N/A,LiFePO4
Emining Corporation,EMSOLA-PRO Family,EMSOLA-PRO,15,4,LiFePO4
Solar Run,Solar Lantern,SR12A,4.9,3,LiFePO4
Barefoot Power,Connect Family,Modular,N/A,N/A,LiFePO4
Barefoot Power,Connect 3000 Li,020-30-0066,33,4,LiFePO4
BioLite Inc.,SolarHome 5000+,SolarHome 5000+,49,4,LiFePO4
BioLite Inc.,Solar Home 5000+ Family,Modular,49,N/A,LiFePO4
Solar Run,WeLite Family,Modular,N/A,N/A,LiFePO4
Solar Run,Solar Home Lighting System,SR06A31XY,10,4,LiFePO4
Solar Run,YelloBox Solar Home System,K088T232XYG,12,5,LiFePO4
Solar Run,SR27 Family,Modular,N/A,N/A,LiFePO4
Solar Run,SR26 Family,Modular,12,N/A,LiFePO4
jOBEL,jOBEL Solar Home Family,Modular,N/A,N/A,LiFePO4
Solar Run,SR06 Family,Modular,N/A,N/A,LiFePO4
Solar Run,YelloBox Family,Modular,N/A,N/A,LiFePO4
Solar Run,Solar Reading Lamp,SR07,0.3,1,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,L190 Task Light & Phone Charger,L190,2.4,1,Li-ion
MySol,MySol DUO,M0021,4.8,2,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,L220 Task Light & Phone Charger,L220,3,1,Li-Ion
Omnivoltaic Energy Solutions Co. Ltd,OvBeacon Family,Modular,N/A,N/A,LiFePO4
Schneider Electric,Mobiya Lite,AEP-LL01-S1000,1.9,1,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,MB2-200,MB2-200,3,2,LiFePO4
Bboxx Ltd.,Flexx40,PW00450201/PW00480101CU,10.4,3,LiFePO4
ZOLA Electric,Flex Max DC,Z580,110,5,LiFePO4
JUA Energy,HOME MATE Solar Home System,H4G-300,91,5,LiFePO4
JUA Energy,HOME MATE Solar Home System,H3G-110,38,4,LiFePO4
IONA,HOME MAX,3,18,3,LiFePO4
JUA Energy,Home Mate H4 Family,Modular,N/A,N/A,LiFePO4
JUA Energy,Home Mate H3 Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),Sun King HomePlus Pro,SK-429,11,4,LiFePO4
Sun Joy,Sun Joy Series Family,Modular,N/A,N/A,LiFePO4
d.light,Solar Home System,D10,5.6,2,LiFePO4
Solektra,Home Mate Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),Sun King HomePlus Family,Modular,N/A,N/A,LiFePO4
