Brand,Product Name,Model Number,PV Module Maximum Power [W],Number of Light Points,Main Unit Battery Chemistry
Sun King,Sun King Home 40 Plus / Home 40 Plus with EasyBuy,SK-417 / SK-419,5.4,2,LiFePO4
Sun King (Greenlight Planet),HomePlus Max Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),HomePlus Max solar home system with EasyBuy,SK-526,76,5,LiFePO4
ALIOTHSYSTEM,tereBox,ALS-TB384,73,6,LiFePO4
Shenzhen JCN New Energy Technology Co. Ltd,Solar Music Light,FS043,10,4,LiFePO4
Shenzhen JCN New Energy Technology Co. Ltd,Solar Music Light Family,Modular,N/A,N/A,LiFePO4
Total Energies,Sunshine Torch,TTS001,3.1,2,LiFePO4
Ningbo Green Light Energy,Solar Home System,GL-80PG,72,3,LiFePO4
d.light,S200 Pro Solar Lantern,S200,2.7,1,Li-Ion
Solar Run,ECOSHINE Solar Home System,SR26A32XG,12,4,LiFePO4
Telesol,TB1206 Energy Box Kit,TB1206,22,4,LiFePO4
Telesol,Energy Box Family,Modular,N/A,N/A,LiFePO4
BioLite Inc.,SH625 Family,Modular,N/A,N/A,LiFePO4
jOBEL,JBX50 Solar Home System,JBX50,16,3,LiFePO4
Lagazel,KALO 600,LK600,0.65,1,LiFePO4
Solar Run,Solar Home System,SR27B42G,20,4,LiFePO4
BioLite Inc.,SolarHome 625,SH625,6.4,4,LiFePO4
Sun King (Greenlight Planet),Pro Easybuy,SK-312,2.7,1,LiFePO4
d.light,Solar Lantern,T200,2.5,1,Li-ion
Sun King (Greenlight Planet),Pico Plus,SK-121,0.39,1,LiFePO4
StarTimes,Solar Power System,S130,50,4,LiFePO4
d.light,Solar Lantern,T100R,2.9,1,LiFePO4
A4&T,A4T77 Family,Modular,N/A,N/A,LiFePO4
Emining Corporation,EMSOLA-PRO Family,EMSOLA-PRO,15,4,LiFePO4
Solar Run,Solar Lantern,SR12A,4.9,3,LiFePO4
Barefoot Power,Connect Family,Modular,N/A,N/A,LiFePO4
Barefoot Power,Connect 3000 Li,020-30-0066,33,4,LiFePO4
BioLite Inc.,SolarHome 5000+,SolarHome 5000+,49,4,LiFePO4
BioLite Inc.,Solar Home 5000+ Family,Modular,49,N/A,LiFePO4
Solar Run,WeLite Family,Modular,N/A,N/A,LiFePO4
Solar Run,Solar Home Lighting System,SR06A31XY,10,4,LiFePO4
Solar Run,YelloBox Solar Home System,K088T232XYG,12,5,LiFePO4
Solar Run,SR27 Family,Modular,N/A,N/A,LiFePO4
Solar Run,SR26 Family,Modular,12,N/A,LiFePO4
jOBEL,jOBEL Solar Home Family,Modular,N/A,N/A,LiFePO4
Solar Run,SR06 Family,Modular,N/A,N/A,LiFePO4
Solar Run,YelloBox Family,Modular,N/A,N/A,LiFePO4
Solar Run,Solar Reading Lamp,SR07,0.3,1,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,L190 Task Light & Phone Charger,L190,2.4,1,Li-ion
MySol,MySol DUO,M0021,4.8,2,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,L220 Task Light & Phone Charger,L220,3,1,Li-Ion
Omnivoltaic Energy Solutions Co. Ltd,OvBeacon Family,Modular,N/A,N/A,LiFePO4
Schneider Electric,Mobiya Lite,AEP-LL01-S1000,1.9,1,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,MB2-200,MB2-200,3,2,LiFePO4
Bboxx Ltd.,Flexx40,PW00450201/PW00480101CU,10.4,3,LiFePO4
ZOLA Electric,Flex Max DC,Z580,110,5,LiFePO4
JUA Energy,HOME MATE Solar Home System,H4G-300,91,5,LiFePO4
JUA Energy,HOME MATE Solar Home System,H3G-110,38,4,LiFePO4
IONA,HOME MAX,3,18,3,LiFePO4
JUA Energy,Home Mate H4 Family,Modular,N/A,N/A,LiFePO4
JUA Energy,Home Mate H3 Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),Sun King HomePlus Pro,SK-429,11,4,LiFePO4
Sun Joy,Sun Joy Series Family,Modular,N/A,N/A,LiFePO4
d.light,Solar Home System,D10,5.6,2,LiFePO4
Solektra,Home Mate Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),Sun King HomePlus Family,Modular,N/A,N/A,LiFePO4
Solektra,Home Mate Family,Modular,N/A,N/A,LiFePO4
Jiro-Ve,Powerpack 10,PP10,N/A,1,Li-Ion
Sun King (Greenlight Planet),Home 120 / Home 120 EasyBuy,SK-407 / SK-409,11,3,LiFePO4
BeeBeeJump Technology Co. Ltd,Beebeesolar S1 Plus Family,Modular,160,N/A,LiFePO4
Lumos,Lumos L1 Family,Lumos L1,N/A,N/A,LiFePO4
BeeBeeJump Technology Co. Ltd,Beebeesolar S1 Plus,S1 Plus,150,2,LiFePO4
Little Sun GmbH,Little Sun Charge Solar Charger 4400 mAh,Gen III,2.7,1,LiFePO4
Barefoot Power,Barefoot Connect Li 1000 Ultra,020-30-0071,15,4,LiFePO4
Acultra,10 W Solar Home System,TCSH-010,14,3,LiFePO4
Roofstar,Flex 3e Family,Modular,N/A,N/A,LiFePO4
Roofstar,Flex 3e Solar Home System,Flex 3e,11,4,LiFePO4
MySol,MySol NEO Family,Modular,N/A,N/A,LiFePO4
MySol,MySol Neo Solar Home System,M0010,9.6,2,LiFePO4
MySol,MySol Neo Solar Home System,M0019,9.6,2,LiFePO4
d.light,Solar Lantern,S30,0.33,1,LiFePO4
SolarChange,SolarChange Solar Lighting System,SC-810,10,7,LiFePO4
Qingdao Sunshine New Energy Co. Ltd,Solar & Music Family,Modular,N/A,N/A,LiFePO4
d.light,Solar Lantern,S3,0.33,1,LiFePO4
MySol,MySol Teevo,M0018,54,5,LiFePO4
MySol,MySol Teevo Power Family,Modular,N/A,N/A,LiFePO4
d.light,SHS Family,Modular,N/A,N/A,Modular
d.light,X1000 Pro Solar Home System,X1000 Pro,40,6,LiFePO4
Afreesun Limited,ACOLOR Solar Lighting System,ACOLOR-70,9.1,4,Li-ion
d.light,X850 Plus and X1000,X850 Plus and X1000,40,6,LiFePO4
d.light,X2800 Solar Home System,X2800,73,3,LiFePO4
Afreesun Limited,ACOLOR/ALAMP Family,Modular,N/A,N/A,Li-ion
d.light,Solar Home System,D200,10,5,LiFePO4
Schneider Electric,Mobiya Original (Blue Standard),AEP-LU01-S2000,2.6,1,LiFePO4
MySol,MySol 120 W TV 32" kit,B35CAC-SC82,119,4,Sealed lead-acid
d.light,D1XX Family,Modular,N/A,N/A,LiFePO4
Shenzhen LEMI,Solar Home System,LM-LFP100,98,4,LiFePO4
Shenzhen LEMI,SHS LFP Family,Modular,N/A,N/A,Modular
MySol,MySol SHS Family,Modular,N/A,N/A,Sealed lead-acid
Spark,Spark Start Family,Modular,N/A,N/A,LiFePO4
Namene Solar Lights Limited,Zuba Solar Light,--,0.35,1,LiFePO4
Qingdao Sunshine New Energy Co. Ltd,SF-310 Solar Lighting System,SF-310,11,6,LiFePO4
Qingdao Sunshine New Energy Co. Ltd,Solarchange Family,Modular,N/A,N/A,LiFePO4
Schneider Electric,Mobiya Original (green),AEP-LR01-S2000,2.6,1,LiFePO4
Schneider Electric,Mobiya Original (Green Standard),AEP-LR01-S2000,2.6,1,LiFePO4
Spark,Spark Start,N/A,10,4,LiFePO4
Schneider Electric,Mobiya Original (blue),AEP-LU01-S2000,2.6,1,LiFePO4
Unite to Light,Luke Light,CH1070-01,0.34,1,Li-Ion
Solar Run,Eco Box,SR24C32YG,16,3,LiFePO4
Solar Run,Eco Box Family,Modular,N/A,N/A,LiFePO4
Shenzhen Topray Solar Co. Ltd,10 W Solar Lighting System,TPS-612-GFS-10W-T,10,2,Li-ion
StarTimes,S130 Family,Modular,N/A,N/A,LiFePO4
OffgridSun,Energy Station Next,N/A,16,3,LiFePO4
StarTimes,S350 Family,Modular,N/A,N/A,LiFePO4
OffgridSun,Energy Station Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),Sun King Home 200X,SK-434,11,3,Li-ion
StarTimes,S130 Family,Modular,N/A,N/A,LiFePO4
StarTimes,S350 Solar Power System,S350,100,4,LiFePO4
Shenzhen LEMI,LM-LI015 Solar Home System,LM-LI015,14,3,Li-Ion
BeeBeeJump Technology Co. Ltd,P1L,--,14,3,LiFePO4
BeeBeeJump Technology Co. Ltd,P1L Family,Modular,N/A,N/A,LiFePO4
Solar Run,Eco Box,SR24C32YG,16,3,LiFePO4
Shenzhen Topray Solar Co. Ltd,10 W Solar Lighting System,TPS-612-GFS-10W-T,10,2,Li-ion
StarTimes,S350 Family,Modular,N/A,N/A,LiFePO4
Sun King,Sun King Boom/Easy Buy,SK-321/SK-322,2.7,1,LiFePO4
Solar Run,Apollo Family,Modular,N/A,N/A,LiFePO4
JUA Energy,Home Mate H2 Family,Modular,N/A,N/A,LiFePO4
Solar Run,Mbox Solar Home System,SR32B132YTZG,80,4,LiFePO4
d.light,Solar Lantern,T500R,5.6,2,Li-ion
Solar Run,Mbox Family,Modular,N/A,N/A,LiFePO4
Zonergy,ZSPD Family,Modular,N/A,N/A,LiFePO4
Zonergy,Solar Home System ZSPD-LFP0100B40,ZSPD-LFP0100B40,97,4,LiFePO4
Guangdong Jinyuan Solar Energy Co. Ltd,EC-SE04-S Solar Home Kit,EC-SE04-S,12,4,LiFePO4
SolarWorX,Solego Family,Modular,N/A,N/A,LiFePO4
IONA,Platinum,1,3.9,1,LiFePO4
Niwa Next Energy Products Ltd.,Home X PRO,Home X PRO,15,3,LiFePO4
IONA,Silver,2,3.3,1,LiFePO4
Sunlite,Multi-Functional Solar Lamp with Mobile Phone Charger,SUNLITE # CL-16 MOB (UPG),2.8,3,Li-Ion
JUA Energy,H2-40 Home Mate,H2-40,12,3,LiFePO4
Solar Run,Solar Lantern,SR067T1,3.1,2,LiFePO4
Supsolar,SupSolar Family,Modular,N/A,4,LiFePO5
SolarWorX,Solego 200 DC Solar Power System,N/A,92,5,LiFePO4
Solar Run,SR31C531XYTG Solar Home System,SR31C531XYTG,53,5,LiFePO4
Supsolar,Solar Medium Kit,SS-M05,11,4,LiFePO4
VSolaris,Apollo Family,Modular,N/A,N/A,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,LUMN L500,L500,5.7,1,Li-ion
Shenzhen LEMI,Mushroom Lantern,LM-L-01,4,1,LiFePO4
Chaohu Venus Solar Technology Co. Ltd.,Solar Home System,VEK1206-LFP,23,2,LiFePO4
Chaohu Venus Solar Technology Co. Ltd.,Solar Home System,VEK1210,32,2,Li-Ion
